Date,Open,High,Low,Close,Adj Close,Volume
26-Sep-16,215.02,215.23,214.01,214.24,185.45,"89,827,300"
23-Sep-16,216.72,216.88,215.88,215.99,186.96,"73,630,900"
22-Sep-16,217,217.53,216.71,217.18,187.99,"76,678,700"
21-Sep-16,214.24,216.03,213.44,215.82,186.81,"110,284,400"
20-Sep-16,214.41,214.59,213.38,213.42,184.74,"69,665,300"
19-Sep-16,214.13,214.88,213.03,213.41,184.73,"80,250,500"
16-Sep-16,1.082 Dividend,,,,,
16-Sep-16,213.48,213.69,212.57,213.37,184.69,"155,236,400"
15-Sep-16,212.96,215.73,212.75,215.28,185.41,"134,427,900"
14-Sep-16,213.29,214.7,212.5,213.15,183.58,"134,185,500"
13-Sep-16,214.84,215.15,212.5,213.23,183.64,"182,828,800"
12-Sep-16,212.39,216.81,212.31,216.34,186.32,"168,110,900"
09-Sep-16,216.97,217.03,213.25,213.28,183.69,"221,589,100"
08-Sep-16,218.62,218.94,218.15,218.51,188.19,"74,102,900"
07-Sep-16,218.84,219.22,218.3,219.01,188.62,"76,554,900"
06-Sep-16,218.7,219.12,217.86,219.03,188.64,"56,702,100"
02-Sep-16,218.39,218.87,217.7,218.37,188.07,"79,293,900"
01-Sep-16,217.37,217.73,216.03,217.39,187.23,"97,844,200"
31-Aug-16,217.61,217.75,216.47,217.38,187.22,"85,269,500"
30-Aug-16,218.26,218.59,217.35,218,187.75,"58,114,500"
29-Aug-16,217.44,218.67,217.4,218.36,188.06,"70,502,200"
26-Aug-16,217.92,219.12,216.25,217.29,187.14,"122,506,300"
25-Aug-16,217.4,218.19,217.22,217.7,187.49,"69,224,800"
24-Aug-16,218.8,218.91,217.36,217.85,187.62,"71,728,900"
23-Aug-16,219.25,219.6,218.9,218.97,188.59,"53,399,200"
22-Aug-16,218.26,218.8,217.83,218.53,188.21,"61,368,800"
19-Aug-16,218.31,218.75,217.74,218.54,188.22,"75,443,000"
18-Aug-16,218.34,218.9,218.21,218.86,188.49,"52,989,300"
17-Aug-16,218,218.53,217.02,218.37,188.07,"75,134,300"
16-Aug-16,218.6,218.68,217.96,217.96,187.72,"53,213,600"
15-Aug-16,218.89,219.5,218.88,219.09,188.69,"49,813,500"
12-Aug-16,218.29,218.71,217.99,218.46,188.15,"61,313,500"
11-Aug-16,218.26,218.94,217.95,218.65,188.31,"72,504,300"
10-Aug-16,218.31,218.4,217.23,217.64,187.44,"57,941,100"
09-Aug-16,218.13,218.76,217.8,218.18,187.91,"51,251,700"
08-Aug-16,218.4,218.52,217.74,218.05,187.8,"39,906,500"
05-Aug-16,216.41,218.23,216.41,218.18,187.91,"71,892,200"
04-Aug-16,216.31,216.78,214.25,216.41,186.38,"46,585,500"
03-Aug-16,215.48,216.25,215.13,216.18,186.19,"53,993,600"
02-Aug-16,216.65,216.83,214.57,215.55,185.64,"92,295,500"
01-Aug-16,217.19,217.65,216.41,216.94,186.84,"73,311,400"
29-Jul-16,216.46,217.54,216.13,217.12,186.99,"79,519,400"
28-Jul-16,216.29,217.11,215.75,216.77,186.69,"65,035,700"
27-Jul-16,217.19,217.27,215.62,216.52,186.48,"84,083,900"
26-Jul-16,216.53,217.17,215.76,216.75,186.68,"70,080,500"
25-Jul-16,217,217.06,215.97,216.65,186.59,"55,873,100"
22-Jul-16,216.41,217.3,216.1,217.24,187.1,"62,787,500"
21-Jul-16,216.96,217.22,215.75,216.27,186.26,"67,777,300"
20-Jul-16,216.19,217.37,216.19,217.09,186.97,"58,159,500"
19-Jul-16,215.92,216.23,215.63,216.19,186.19,"54,345,700"
18-Jul-16,215.97,216.6,215.67,216.41,186.38,"58,725,900"
15-Jul-16,216.78,217.01,215.31,215.83,185.88,"107,155,400"
14-Jul-16,216.4,216.67,215.66,216.12,186.13,"91,230,900"
13-Jul-16,215.44,215.45,214.35,214.92,185.1,"87,324,100"
12-Jul-16,214.53,215.3,213.43,214.95,185.13,"101,275,600"
11-Jul-16,213.19,214.07,212.95,213.4,183.79,"73,633,900"
08-Jul-16,211.05,212.94,210.78,212.65,183.15,"133,971,000"
07-Jul-16,209.87,210.65,208.63,209.53,180.46,"85,593,800"
06-Jul-16,207.83,209.8,207.06,209.66,180.57,"96,021,500"
05-Jul-16,208.95,209.08,207.71,208.41,179.49,"109,803,700"
01-Jul-16,209.48,210.49,209.29,209.92,180.79,"106,055,300"
30-Jun-16,207.21,209.54,206.56,209.48,180.42,"165,021,900"
29-Jun-16,204.84,206.93,204.72,206.66,177.99,"137,328,600"
28-Jun-16,201.48,203.23,201.12,203.2,175.01,"159,382,400"
27-Jun-16,201.59,201.6,198.65,199.6,171.91,"230,775,800"
24-Jun-16,203.63,210.85,202.72,203.24,175.04,"333,444,400"
23-Jun-16,209.81,210.87,209.27,210.81,181.56,"102,731,400"
22-Jun-16,208.65,209.5,207.93,208.1,179.23,"95,560,500"
21-Jun-16,208.3,208.92,207.78,208.44,179.52,"72,461,700"
